Brand,Price Value,Currency,Rating,Ratings Count,Processor,Screen Size,Manufacturer Color,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Release Year,Model,OS,Features,Hard Drive Capacity,Country Region Of Manufacture,Storage Type,Resolution Width,Resolution Height
Lenovo,138.0,$,Unknown,4.0,"8350U,  Core i5",14.0,Unknown,Black,16 GB,128 GB,Intel UHD Graphics 620,1.70 GHz,Notebook/Laptop,Unknown,Lenovo T480,Windows 11 Pro,"Built-in Microphone,  Built-in Webcam",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Samsung,430.55,$,Unknown,4.0,Intel Core i5 12th Gen.,13.3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Acer,69.99,$,5 out of 5 stars,1.0,Intel Celeron N,11.6,Pure Silver,Silver,4 GB,32 GB,Intel UHD Graphics 600,1.10 GHz,Notebook/Laptop,2020,Acer Chromebook 311,Chrome OS,Bluetooth,Unknown,Unknown,eMMC,1366.0,768.0
Chuwi,151.99,$,Unknown,4.0,Intel Celeron Processor N4100,14.1,Unknown,Gray,8 GB,256 GB,"Intel UHD Graphics 600, 650MHz",2.80 GHz,Notebook/Laptop,2021,CHUWI Lapbook Pro,Windows 11 Home,Wi-Fi,256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Chuwi,243.99,$,Unknown,4.0,Intel Core i5-8259U,14.0,Unknown,Gray,8 GB,512 GB,Intel Iris Plus Graphics 655,3.80 GHz,Notebook/Laptop,2021,CHUWI CoreBook X,Windows 10,"Backlit Keyboard, Bluetooth, Built-in Microphone, Wi-Fi",512 GB,Unknown,HDD + SSD,2160.0,1440.0
Dell,169.99,$,Unknown,4.0,Intel Core i5 7th Gen.,2.0,Unknown,Black,8 GB,128 GB,Unknown,Unknown,Notebook/Laptop,Unknown,Dell Latitude 5289,Windows 10 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",128 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,218.0,$,Unknown,4.0,Intel Core i5 8th Gen.,15.6,Unknown,Black,16 GB,512 GB,Intel HD Graphics 620,1.60 GHz,Notebook/Laptop,Unknown,Dell Latitude E5500,Not Included,"Backlit Keyboard, Bluetooth, Built-in Webcam, Touchscreen, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,129.99,$,Unknown,4.0,Intel Celeron,11.0,Unknown,Black,4 GB,128 GB,Intel UHD Graphics 600,1.10 GHz,Notebook/Laptop,2019,Dell Latitude 3189,Windows 10 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",128 GB,Unknown,SSD (Solid State Drive),1366.0,768.0
Acer,39.99,$,Unknown,4.0,Intel Celeron N,11.6,Unknown,Gray,4 GB,16 GB,Intel HD Graphics,1.60 GHz,Notebook/Laptop,2018,Acer Chromebook C731,Chrome OS,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",16 GB,Unknown,SSD (Solid State Drive),1366.0,768.0
Dell,392.99,$,Unknown,4.0,Intel Core i7 8th Gen.,14.0,Unknown,Black,Unknown,Unknown,Intel UHD Graphics 620,4.20 GHz (1.90 GHz Base Frequency),Notebook/Laptop,2023,Dell Latitude 7400,Windows 11 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",2 TB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,625.0,$,Unknown,4.0,Intel Core i7 13th Gen.,16.0,Unknown,Unknown,32 GB,1 TB,Unknown,4.40 GHz,Unknown,2023,16 Plus 7630,Windows 11 Home,"3D Camera,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",1 TB,Unknown,SSD (Solid State Drive),2560.0,1600.0
Dell,315.0,$,5 out of 5 stars,1.0,AMD Ryzen 5,14.0,Unknown,Silver,16 GB,512 GB,AMD Radeon Graphics,2.30 GHz,"N/A, Notebook/Laptop",Unknown,Dell Inspiron 14 5425,Windows 11 Home,Unknown,Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,199.99,$,Unknown,4.0,Intel Core i5 6th Gen.,12.5,Black,Black,8 GB,256 GB,Intel HD Graphics,2.60 GHz,Notebook/Laptop,2013,Dell Latitude 5289,Windows 10,"Bluetooth,  Built-in Microphone,  Built-in Webcam",256 GB,United States,SSD (Solid State Drive),1920.0,1080.0
Unknown,227.32,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
HP,299.99,$,Unknown,4.0,i5-8365U,13.0,Unknown,Silver,16 GB,512 GB,Intel UHD 620 1024 MB,1.60 GHz,Notebook/Laptop,2019,HP Elite X2 G4,FreeDOS,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen",Unknown,Unknown,SSD (Solid State Drive),3000.0,2000.0
Microsoft,59.99,$,Unknown,4.0,Intel Core i5 4th Gen.,12.0,Unknown,Gray,4 GB,128 GB,Unknown,1.90 GHz,Notebook/Laptop,Unknown,Microsoft Surface Pro 3,Windows 10 Pro,Unknown,128 GB,Unknown,SSD (Solid State Drive),2160.0,1440.0
Lenovo,44.99,$,5 out of 5 stars,1.0,Intel Celeron N,11.6,Unknown,Black,4 MB,16 GB,Intel HD Graphics 500,1.10 GHz,Notebook/Laptop,Unknown,Lenovo 100e,Chrome OS,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Multi-Touch Trackpad, Rugged, Built-in Microphone",Unknown,Unknown,eMMC,1366.0,768.0
HP,439.0,$,Unknown,4.0,Intel Core i5-1135G7,15.6,Unknown,Natural Silver,Up to 32GB,Up to 2TB,Intel Iris Xe Graphics,Up to 4.2GHz,Notebook/Laptop,2023,HP 15 Essential,Windows 11 Home,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi, USB 3.2, Ethernet, Media card reader, USB-C",Up to 2TB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Unknown,206.65,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,344.99,$,Unknown,4.0,Intel Core i5 7th Gen.,15.6,Unknown,Black,16 GB,512 GB,Intel HD Graphics 620,3.10 GHz (2.50 GHz Base Frequnecy),Notebook/Laptop,2023,Dell Latitude 5580,Windows 10 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",512 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
CHUWI,241.99,$,Unknown,4.0,Quad Core,15.6,Unknown,Gray,16 GB,512 GB,Intel UHD Graphics,up to 3.4Ghz,Notebook/Laptop,2023,GemiBook Plus,Windows 11 Home,"Built-in Microphone,  Built-in Webcam,  Bluetooth,  Wi-Fi",512 GB,China,SSD (Solid State Drive),1920.0,1080.0
HP,419.99,$,Unknown,4.0,Intel Core i7 8th Gen.,14.0,Unknown,Black,Unknown,Unknown,Intel UHD Graphics 620,4.20 GHz (1.90 GHz Base Frequency),Notebook/Laptop,2023,HP EliteBook 840 G6,Windows 11 Pro,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi",2 TB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Lenovo,72.99,$,Unknown,4.0,Intel Celeron N3160,11.6,Unknown,Black,Unknown,128 GB,Unknown,1.60 GHz,Convertible 2-in-1 Laptop/Tablet,Unknown,Yoga 11e 3rd Gen.,Windows 10 Home,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Force Touch Trackpad, Multi-Touch Trackpad, Touchscreen, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1366.0,768.0
HP,209.0,$,Unknown,4.0,i5-7200U,15.6,Unknown,Black,16 GB,512 GB,Intel HD Graphics,2.50 GHz,Notebook/Laptop,Unknown,HP ProBook 650 G3,Windows 11 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam, Optical Drive, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Chuwi,149.99,$,Unknown,4.0,Intel Celeron N4100,14.1,Unknown,Gray,8 GB,256 GB,Intel UHD Graphics 600,up to 2.8GHZ,Notebook/Laptop,Unknown,CHUWI LapBook Pro,Windows 11 Home,"Bluetooth, Backlit Keyboard, Built-in Microphone, Built-in Webcam, Wi-Fi",256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Lenovo,799.0,$,4 out of 5 stars,1.0,Intel Core i7 12th Gen.,16.0,Storm Gray,Gray,16 GB,512 GB,NVIDIA GeForce RTX 3050 Ti,3.50 GHz,Notebook/Laptop,2022,Lenovo Legion 5 Pro 16IAH7,Windows 11 Home,"Bluetooth, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),2560.0,1600.0
Lenovo,99.99,$,Unknown,4.0,Intel Core i5-4300U,14.0,Unknown,Dark Brown,8 GB,256 GB,Intel HD Graphics,1.9 GHz,Notebook/Laptop,Unknown,Lenovo ThinkPad T440,Unknown,Touchscreen,256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,218.99,$,Unknown,4.0,i7-7820HQ,15.6,Unknown,Black,16 GB,512 GB,Unknown,2.8 to 3.9GHz,Notebook,Unknown,E5580,Windows 11 Pro,"Backlit Keyboard, Built-in Webcam",512GB SSD,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,152.5,$,Unknown,4.0,Intel Core i5-4200U,14.0,Unknown,Black,8 GB,256 GB,Intel HD Graphics 4400,1.60 GHz,Notebook/Laptop,2014,Dell Latitude E5440,Windows 10 Home,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  Wi-Fi,  Anti-glare HD LED Display,  WLED Backlight",Unknown,Unknown,SSD (Solid State Drive),1366.0,768.0
CHUWI,269.49,$,Unknown,4.0,Intel Celeron N5100,13.5,Unknown,Gray,12 GB,512 GB,Intel® UHD Graphics,2.80 GHz,Notebook/Laptop,2022,CHUWI FreeBook,Windows 10 Home,"Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet",12 GB,Unknown,SSD (Solid State Drive),2256.0,1504.0
Lenovo,130.0,$,Unknown,4.0,Intel Core i5-8250U,14.0,Unknown,Black,16 GB,256 GB,Unknown,Unknown,Unknown,Unknown,L380,Not Included,"Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Stylus, Touchscreen",Unknown,Unknown,Unknown,1920.0,1080.0
Dell,489.0,$,Unknown,4.0,AMD Ryzen 5,15.6,Unknown,Carbon Black,16 GB,512 GB,AMD Radeon Graphics,Up to 4.5GHz,Notebook/Laptop,2023,Dell Inspiron 15 3535,Windows 11 Home,"Bluetooth, Wi-Fi, MaxxAudio Pro, Media Card Reader, Wi-Fi 5, USB-C 3.2",512 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,119.99,$,Unknown,4.0,Intel Core i5 6th Gen.,14.0,Unknown,Black,8 GB,Unknown,Unknown,2.40 GHz,Notebook/Laptop,2019,5414,Not Included,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Rugged,  Stylus,  Touchscreen,  Wi-Fi,  Wifi",8 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
LG,550.0,$,Unknown,4.0,Intel Core i7 13th Gen,17.3,Unknown,Black,16 GB,512 GB,Unknown,Unknown,Notebook/Laptop,Unknown,17ZB90R-K.AAC7U1,Windows Home 11,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
HP,29.99,$,Unknown,4.0,Intel Celeron,14.0,Unknown,Grey/Black,16 GB,16 GB,Unknown,2.16 GHz,Notebook/Laptop,Unknown,HP T4M32UT#ABA,Chrome OS,Wi-Fi,16 GB,Unknown,SSD (Solid State Drive),1366.0,768.0
HP,145.0,$,Unknown,4.0,Intel Core i3 6th Gen.,15.6,Unknown,Black,8 GB,512 GB,Intel HD Graphics,2.30 GHz,Notebook/Laptop,Unknown,ProBook 650 G2,Windows 10 Pro,"Bluetooth,  Built-in Webcam,  Optical Drive,  Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,159.99,$,Unknown,4.0,Intel i5,15.6,Unknown,Unknown,8 GB,256 GB,Unknown,2.30 GHz,Unknown,Unknown,Dell Latitude E5550,Windows 10 Pro,Unknown,256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
HP,84.99,$,Unknown,4.0,Intel Celeron,11.6,Unknown,Multi,4 GB,16 GB,Intel HD Graphics 500,2.4,Notebook/Laptop,2019,Chromebook 11 G6 EE,Chrome OS,"Bluetooth,  Built-in Webcam,  Wi-Fi,  Built-in Microphone",16 GB,Unknown,eMMC,1366.0,768.0
Microsoft,69.6,$,Unknown,4.0,Intel Core i5,12.5,Unknown,Unknown,256 GB,256 GB,Unknown,Unknown,Notebook/Laptop,Unknown,Microsoft Surface Pro,Not Included,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
HP,69.99,$,4.5 out of 5 stars,10.0,Intel Celeron N,11.6,Unknown,Black,4 GB,16 GB,Intel HD Graphics,1.6 GHz,Chromebook,Unknown,Samsung ChromeBook,Chrome OS,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi,  Widescreen Display",16 GB,Unknown,eMMC,1366.0,768.0
HP,49.0,$,Unknown,4.0,AMD A4 Dual-Core,11.6,Unknown,Gray,4 GB,16 GB,Unknown,1.60 GHz,Notebook/Laptop,Unknown,Chromebook 11A G8 EE,Chrome OS,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",16 GB,Unknown,eMMC,1366.0,768.0
Dell,129.95,$,5 out of 5 stars,1.0,Intel Core i7 6th Gen.,12.5,Unknown,Black,8 GB,256 GB,Intel® HD Graphics 520,2.60 GHz,Notebook/Laptop,2017,Dell Latitude E7270,Windows 10 Pro,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Lenovo,135.0,$,Unknown,4.0,Does Not Apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Does Not Apply,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Lenovo,80.99,$,Unknown,4.0,Intel Core i5 2nd Gen.,12.5,Unknown,Black,4 GB,120 GB,Unknown,2.50 GHz,Notebook/Laptop,Unknown,Lenovo ThinkPad X220,Windows 10,"Touchscreen, Bluetooth, Built-in Microphone, Built-in Webcam",320 GB,Unknown,HDD (Hard Disk Drive),1366.0,768.0
Microsoft,103.77,$,5 out of 5 stars,8.0,NVIDIA Tegra 3,13.5,Unknown,Silver,1 GB,Unknown,Unknown,2.60 GHz,Unknown,Unknown,Microsoft Surface Book,Not Included,"Multi-Touch Trackpad, Built-in Microphone, Backlit Keyboard, Bluetooth, Touchscreen, Wi-Fi, Convertible 2-in-1 Laptop/Tablet, Built-in Webcam, Force Touch Trackpad",512 GB,Unknown,SSD (Solid State Drive),3000.0,2000.0
Dell,199.99,$,Unknown,4.0,i5-7300HQ,15.6,Unknown,Black,8 GB,256 GB,NVIDIA GeForce GTX 1050 Ti,2.5GHz,Notebook/Laptop,Unknown,Dell Inspiron 15 7000,Windows 10 Home,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",No HDD,China,SSD (Solid State Drive),1920.0,1080.0
Dell,288.0,$,Unknown,4.0,Core i7,12.5,Unknown,Unknown,Unknown,512 GB,Intel HD Graphics 620,2.80 GHz,Notebook/Laptop,Unknown,Dell Latitude 7280,Windows 10 Pro,"Touchscreen, Widescreen Display, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,105.01,$,Unknown,4.0,Intel Core i5 6th Gen.,14.0,Unknown,Black,8 GB,256 GB,Unknown,2.60 GHz,Notebook/Laptop,Unknown,Dell 5470,Windows 10 Pro,"10/100 LAN Card,  Built-in Webcam,  Wi-Fi",256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,39.95,$,Unknown,4.0,Intel Celeron,13.3,Unknown,Black,4 GB,16 GB,Unknown,1.60 GHz,Notebook/Laptop,2017,Dell Chromebook 3380,Chrome OS,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",16 GB,Unknown,eMMC,1366.0,768.0
Lenovo,90.0,$,Unknown,4.0,Intel Core i3-6100U,11.6,Unknown,Black,8 GB,128 GB,Unknown,2.30 GHz,Unknown,Unknown,Lenovo Yoga,Windows 10 Pro,Touchscreen,128 GB,Unknown,SSD (Solid State Drive),1366.0,768.0
Lenovo,599.0,$,Unknown,4.0,Intel Core i5-1135G7,15.6,Unknown,Arctic Grey,20 GB,1 TB,Intel Iris Xe Graphics,Up to 4.20GHz,Notebook/Laptop,2023,Lenovo Ideapad 3i,Windows 11 Home,"5G,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Touchscreen,  Wi-Fi,  Dual Speakers",1 TB,China,SSD (Solid State Drive),1920.0,1080.0
Toshiba,799.99,$,Unknown,4.0,Intel i7-Q740 1.73GHz,18.4,Unknown,Unknown,8 GB,500 GB,Unknown,1.73 GHz,Notebook/Laptop,Unknown,Toshiba Qosmio,Windows Pro,Unknown,500 GB,Unknown,HDD (Hard Disk Drive),1920.0,1080.0
Dell,169.99,$,Unknown,4.0,Intel Core i5 6th Gen.,14.0,Black,Unknown,16 GB,500 GB,Unknown,2.40 GHz,Notebook/Laptop,Unknown,Latitude E7470,Unknown,Unknown,500 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,239.0,$,5 out of 5 stars,2.0,Intel Core i7 6th Gen.,15.6,Unknown,Unknown,16 GB,512 GB,Unknown,2.70 GHz,Notebook/Laptop,Unknown,Dell Precision 5510,Windows 10 Pro,Unknown,Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,169.0,$,Unknown,4.0,Intel Core i7 8th Gen.,13.3,Unknown,Silver,8 GB,256 GB,Intel UHD Graphics 620,1.80 GHz,Notebook/Laptop,Unknown,Dell 3301,Windows 11 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Unknown,Unknown,Unknown,1920.0,1080.0
HP,289.99,$,Unknown,4.0,Intel Core i5 8th Gen.,14.0,Unknown,Silver,32 GB,500 GB,Intel UHD Graphics 620,2.60 GHz,Notebook/Laptop,2018,Hp Elitlebook G5,Windows 11 Pro,Wi-Fi,500 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,90.0,$,Unknown,4.0,Intel Core i7,14.0,Unknown,Black,8 GB,Not Included,Unknown,Unknown,Notebook/Laptop,2017,Dell Latitude 7480,Not Included,Unknown,Not Included,Unknown,Not Included,1920.0,1080.0
Lenovo,105.0,$,Unknown,4.0,Intel Core i5-3320M,12.5,Unknown,Unknown,8 GB,Unknown,Unknown,2.60 GHz,Notebook/Laptop,Unknown,Lenovo ThinkPad X230,Not Included,Unknown,180 GB,Unknown,Unknown,1920.0,1080.0
Microsoft,409.0,$,Unknown,4.0,Intel Core i5 11th Gen.,12.3,Unknown,Silver,8 GB,256 GB,Intel Iris Xe Graphics,2.40 GHz,Convertible 2-in-1 Laptop/Tablet,2021,Microsoft Surface Pro 7,Windows 10 Pro,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),2736.0,1824.0
Dell,200.0,$,Unknown,4.0,Intel Core i5 6th Gen.,14.0,Unknown,Black,8 GB,256 GB,Intel HD Graphics,2.40 GHz,Notebook/Laptop,Unknown,Dell Latitude Rugged 5414,Windows 10 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Rugged, Touchscreen, Wi-Fi",256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Lenovo,55.0,$,4.5 out of 5 stars,6.0,MediaTek MT8183,10.1,Iron Grey,Gray,Unknown,32 GB,Mali-G72 MP3,2.00 GHz,Chromebook,2020,Samsung ChromeBook,Chrome OS,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Unknown,Unknown,eMMC,1920.0,1200.0
SGIN,225.0,$,Unknown,4.0,Intel Celeron,15.6,Unknown,Silver,12 GB,512 GB,AMD Radeon Graphics,2.80 GHz,Notebook/Laptop,2023,X15,Windows 11 Home,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",12 GB,China,SSD (Solid State Drive),1920.0,1200.0
HP,659.0,$,Unknown,4.0,Intel Core i5 13th Gen.,15.6,Performance Blue,Blue,8 GB,512 GB,NVIDIA GeForce RTX 3050,2.10 GHz,Notebook/Laptop,2023,HP 15-fa1093dx,Windows 11 Home,Backlit Keyboard,Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,229.0,$,Unknown,4.0,Intel Core i5 10th Gen.,14.0,Unknown,Gray,16 GB,512 GB,Intel HD Graphics 630,1.70 GHz,Notebook/Laptop,Unknown,5410,Not Included,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi",512 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
HP,210.0,$,Unknown,4.0,Intel Core i7 6th Gen.,15.6,Unknown,Unknown,16 GB,512 GB,Unknown,Unknown,Notebook/Laptop,Unknown,HP ZBook Studio G3,Unknown,Unknown,512 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Lenovo,179.99,$,Unknown,4.0,Intel Core i7 6th Gen.,14.1,Unknown,Black,16 GB,512 GB,Intel HD Graphics 520,2.60 GHz,Notebook/Laptop,2016,Lenovo ThinkPad X1 Yoga,Windows 10 Pro,"Backlit Keyboard, Bluetooth, Built-in Webcam, Multi-Touch Trackpad",512 GB,Unknown,SSD (Solid State Drive),2560.0,1440.0
Panasonic,675.0,$,Unknown,4.0,Intel Core i5 6th Gen.,12.0,Unknown,Silver,16 GB,See Options,Unknown,2.40 GHz,Ultra-mobile PC (UMPC),2018,panasonic cf-33,Windows 10,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Force Touch Trackpad,  LTE,  Rugged,  Stylus,  Touchscreen,  Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),2160.0,1440.0
Dell,125.96,$,Unknown,4.0,Intel Core i5 6th Gen,14.0,Unknown,Black,8 GB,240GB,Intel HD Graphics,2.40 GHz,Notebook/Laptop,Unknown,Dell Latitude 5480,Windows 10 Pro,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1366.0,768.0
Lenovo,89.99,$,Unknown,4.0,Intel Celeron,13.0,Unknown,Gray,4 GB,128 GB,Intel UHD Graphics,2.20 GHz,Notebook/Laptop,2020,Lenovo ThinkPad L390,Windows 11 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1366.0,768.0
Unknown,271.8,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
